iter	Passed	Remaining
0	0	79
1	1	70
2	2	68
3	2	63
4	3	63
5	4	63
6	4	62
7	5	61
8	6	61
9	6	60
10	7	60
11	9	69
12	10	70
13	11	71
14	13	76
15	14	74
16	14	73
17	15	71
18	16	69
19	17	68
20	17	67
21	18	65
22	19	64
23	19	62
24	20	61
25	21	60
26	21	59
27	22	58
28	23	57
29	25	58
30	26	59
31	27	59
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	46
43	36	46
44	36	45
45	38	45
46	40	45
47	41	44
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	45	39
54	46	38
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	84	0
