iter	Passed	Remaining
0	164	163985
1	169	84673
2	174	58046
3	178	44558
4	184	36635
5	188	31262
6	193	27400
7	197	24467
8	202	22257
9	206	20421
10	210	18925
11	215	17719
12	219	16666
13	223	15756
14	228	15010
15	233	14339
16	237	13736
17	242	13219
18	247	12756
19	251	12341
20	256	11968
21	261	11628
22	266	11322
23	271	11053
24	276	10783
25	281	10547
26	286	10327
27	291	10112
28	295	9899
29	300	9703
30	304	9530
31	309	9363
32	314	9229
33	321	9126
34	326	8991
35	333	8934
36	339	8826
37	343	8705
38	351	8652
39	356	8549
40	361	8459
41	366	8361
42	372	8297
43	379	8241
44	386	8196
45	391	8121
46	395	8019
47	398	7906
48	402	7821
49	405	7710
50	408	7604
51	411	7496
52	413	7384
53	415	7286
54	418	7183
55	419	7075
56	421	6970
57	422	6864
58	424	6770
59	426	6675
60	427	6579
61	428	6488
62	430	6404
63	432	6323
64	433	6242
65	435	6162
66	436	6083
67	438	6005
68	439	5930
69	441	5859
70	442	5790
71	444	5726
72	446	5668
73	447	5603
74	449	5541
75	450	5480
76	452	5423
77	453	5364
78	455	5305
79	456	5249
80	457	5196
81	460	5151
82	461	5097
83	462	5048
84	464	4998
85	466	4953
86	467	4905
87	468	4857
88	470	4811
89	471	4767
90	472	4723
91	475	4688
92	476	4651
93	478	4610
94	479	4569
95	481	4531
96	482	4492
97	484	4455
98	485	4418
99	486	4382
100	488	4349
101	491	4322
102	492	4292
103	494	4258
104	495	4225
105	497	4193
106	498	4162
107	500	4131
108	502	4103
109	503	4076
110	505	4050
111	507	4023
112	509	3996
113	510	3968
114	512	3940
115	513	3913
116	514	3883
117	515	3856
118	517	3830
119	518	3804
120	521	3789
121	522	3763
122	524	3739
123	526	3715
124	527	3692
125	528	3668
126	529	3643
127	531	3619
128	532	3597
129	535	3584
130	537	3565
131	538	3544
132	540	3522
133	541	3500
134	543	3482
135	545	3464
136	546	3444
137	548	3428
138	551	3413
139	553	3397
140	554	3378
141	555	3355
142	556	3336
143	558	3318
144	559	3301
145	561	3284
146	563	3267
147	565	3254
148	567	3240
149	569	3224
150	570	3207
151	571	3191
152	573	3173
153	574	3157
154	576	3140
155	577	3124
156	579	3109
157	581	3100
158	583	3087
159	585	3072
160	586	3054
161	587	3039
162	588	3024
163	590	3008
164	591	2993
165	592	2978
166	594	2966
167	597	2957
168	598	2944
169	600	2931
170	601	2918
171	603	2905
172	604	2891
173	606	2877
174	607	2864
175	610	2856
176	611	2845
177	613	2833
178	614	2820
179	616	2807
180	617	2795
181	619	2784
182	620	2771
183	622	2759
184	624	2749
185	625	2739
186	627	2728
187	629	2717
188	630	2705
189	631	2694
190	633	2684
